Member_number,Date,Items
1000,15-03-2015,"['sausage', 'whole milk', 'semi-finished bread', 'yogurt']"
1000,24-06-2014,"['whole milk', 'pastry', 'salty snack']"
1000,24-07-2015,"['canned beer', 'misc. beverages']"
1000,25-11-2015,"['sausage', 'hygiene articles']"
1000,27-05-2015,"['soda', 'pickled vegetables']"
1001,02-05-2015,"['frankfurter', 'curd']"
1001,07-02-2014,"['sausage', 'whole milk', 'rolls/buns']"
1001,12-12-2014,"['whole milk', 'soda']"
1001,14-04-2015,"['beef', 'white bread']"
1001,20-01-2015,"['frankfurter', 'soda', 'whipped/sour cream']"
1002,09-02-2014,"['frozen vegetables', 'other vegetables']"
1002,26-04-2014,"['butter', 'whole milk']"
1002,26-04-2015,"['tropical fruit', 'sugar']"
1002,30-08-2015,"['butter milk', 'specialty chocolate']"
1003,10-02-2015,"['sausage', 'rolls/buns']"
1003,15-10-2014,"['root vegetables', 'detergent']"
1003,19-01-2014,"['frozen meals', 'dental care']"
1003,27-02-2014,"['rolls/buns', 'rolls/buns']"
1004,01-05-2014,"['dish cleaner', 'cling film/bags']"
1004,01-07-2014,"['canned beer', 'frozen fish']"
1004,02-12-2015,"['other vegetables', 'hygiene articles']"
1004,04-02-2014,"['pip fruit', 'whole milk', 'tropical fruit']"
1004,10-06-2014,"['rolls/buns', 'red/blush wine', 'chocolate']"
1004,10-07-2014,"['other vegetables', 'shopping bags']"
1004,13-10-2014,"['whole milk', 'chocolate', 'packaged fruit/vegetables', 'rolls/buns']"
1004,19-08-2014,"['root vegetables', 'whole milk', 'pastry']"
1005,09-01-2014,"['rolls/buns', 'rolls/buns']"
1005,23-01-2014,"['whipped/sour cream', 'margarine']"
1006,05-07-2014,"['bottled water', 'softener', 'rolls/buns']"
1006,09-04-2014,"['whole milk', 'rice']"
1006,11-07-2014,"['shopping bags', 'skin care']"
1006,14-06-2015,"['whole milk', 'frankfurter', 'chicken', 'frankfurter', 'flour', 'chocolate', 'bottled beer', 'rolls/buns']"
1008,03-10-2015,"['hamburger meat', 'liquor (appetizer)', 'liver loaf', 'dessert']"
1008,21-07-2015,"['tropical fruit', 'soda', 'yogurt', 'root vegetables', 'yogurt', 'domestic eggs', 'white wine', 'photo/film']"
1009,05-10-2015,"['herbs', 'yogurt', 'newspapers']"
1009,14-05-2015,"['tropical fruit', 'yogurt']"
1009,23-09-2015,"['pastry', 'ketchup']"
1009,24-01-2014,"['canned fish', 'cocoa drinks']"
1010,05-03-2014,"['pip fruit', 'coffee', 'UHT-milk']"
1010,10-04-2014,"['kitchen towels', 'sliced cheese']"
1010,23-08-2014,"['bottled water', 'specialty bar']"
1010,27-08-2014,"['frankfurter', 'bottled water']"
1010,31-07-2015,"['pip fruit', 'candles', 'rolls/buns']"
1011,02-06-2014,"['curd cheese', 'pastry']"
1011,09-12-2015,"['whole milk', 'frankfurter', 'candles', 'grapes', 'herbs', 'other vegetables', 'yogurt']"
1011,15-02-2014,"['citrus fruit', 'candy', 'bottled water', 'rolls/buns']"
1012,03-10-2015,"['frankfurter', 'yogurt']"
1012,19-11-2015,"['tropical fruit', 'root vegetables', 'rolls/buns', 'onions', 'shopping bags']"
1012,22-06-2014,"['frozen vegetables', 'brown bread']"
1012,27-03-2015,"['processed cheese', 'whole milk']"
1013,02-07-2015,"['frozen meals', 'whole milk']"
1013,02-10-2015,"['white bread', 'meat', 'domestic eggs', 'roll products ']"
1013,12-11-2014,"['root vegetables', 'mayonnaise']"
1013,15-07-2014,"['other vegetables', 'mustard']"
1013,17-01-2014,"['hard cheese', 'napkins', 'bottled water']"
1013,20-02-2014,"['whole milk', 'candy']"
1013,26-03-2014,"['tropical fruit', 'frozen vegetables']"
1013,28-03-2014,"['mustard', 'whipped/sour cream']"
1014,03-10-2015,"['whole milk', 'sausage', 'bottled beer', 'yogurt']"
1014,04-01-2015,"['canned beer', 'cookware']"
1014,04-09-2014,"['hamburger meat', 'butter milk']"
1014,06-10-2014,"['whole milk', 'rolls/buns']"
1015,04-05-2015,"['citrus fruit', 'whole milk']"
1015,22-03-2015,"['salty snack', 'beef']"
1015,28-06-2014,"['fruit/vegetable juice', 'rolls/buns', 'chocolate']"
1016,05-10-2015,"['UHT-milk', 'bottled beer']"
1016,19-07-2015,"['chicken', 'red/blush wine']"
1016,23-04-2015,"['soft cheese', 'pip fruit']"
1016,30-09-2015,"['rolls/buns', 'frankfurter', 'oil', 'pip fruit', 'mayonnaise']"
1017,14-10-2014,"['brown bread', 'pet care']"
1017,16-05-2015,"['other vegetables', 'rolls/buns']"
1017,19-06-2014,"['yogurt', 'beef']"
1017,21-02-2014,"['other vegetables', 'root vegetables']"
1017,30-09-2015,"['soda', 'dessert', 'shopping bags']"
1018,01-10-2014,"['curd', 'long life bakery product']"
1018,15-04-2014,"['beverages', 'domestic eggs']"
1018,23-05-2015,"['butter milk', 'root vegetables']"
1018,27-05-2014,"['berries', 'cake bar']"
1019,10-12-2014,"['hamburger meat', 'red/blush wine']"
1020,12-08-2014,"['canned beer', 'shopping bags']"
1020,13-10-2015,"['canned beer', 'spices', 'rolls/buns', 'frozen fish']"
1020,19-07-2014,"['frozen meals', 'butter', 'newspapers', 'yogurt']"
1021,07-11-2015,"['rolls/buns', 'baking powder']"
1021,22-10-2015,"['liquor', 'curd', 'yogurt', 'tropical fruit']"
1021,30-05-2014,"['sliced cheese', 'butter']"
1022,07-06-2014,"['sausage', 'fruit/vegetable juice']"
1022,22-02-2014,"['beef', 'napkins']"
1022,25-03-2014,"['whole milk', 'whipped/sour cream']"
1023,06-01-2015,"['whipped/sour cream', 'root vegetables', 'rolls/buns', 'packaged fruit/vegetables']"
1023,13-06-2014,"['domestic eggs', 'soda']"
1023,17-05-2014,"['chicken', 'frozen meals']"
1023,22-05-2014,"['male cosmetics', 'curd']"
1023,28-06-2015,"['white bread', 'bottled beer', 'yogurt', 'berries']"
1023,30-12-2014,"['sausage', 'whipped/sour cream', 'specialty bar']"
1024,10-08-2015,"['fish', 'root vegetables', 'tropical fruit', 'other vegetables']"
1025,06-02-2014,"['coffee', 'shopping bags']"
1025,10-03-2014,"['ham', 'cream cheese ']"
1025,19-08-2015,"['canned beer', 'UHT-milk']"
1026,08-03-2014,"['sausage', 'dessert', 'rolls/buns', 'pickled vegetables']"
1026,15-03-2015,"['fruit/vegetable juice', 'salty snack', 'candy', 'dental care', 'butter']"
1026,18-06-2014,"['root vegetables', 'long life bakery product']"
1026,23-08-2014,"['citrus fruit', 'yogurt']"
1026,28-05-2015,"['root vegetables', 'whipped/sour cream', 'root vegetables', 'canned beer']"
1027,14-05-2014,"['softener', 'salt', 'whole milk']"
1027,17-05-2015,"['pork', 'hamburger meat']"
1027,22-09-2014,"['rolls/buns', 'bottled water']"
1027,25-02-2015,"['rolls/buns', 'red/blush wine']"
1028,02-06-2015,"['onions', 'canned beer', 'flower (seeds)']"
1028,05-04-2014,"['rolls/buns', 'sugar']"
1028,10-11-2014,"['soda', 'butter']"
1028,11-07-2015,"['specialty chocolate', 'root vegetables']"
1028,24-04-2014,"['rolls/buns', 'baking powder', 'onions', 'bottled water']"
1029,14-03-2015,"['dessert', 'ham']"
1031,04-03-2014,"['ice cream', 'pot plants']"
1031,15-10-2015,"['other vegetables', 'other vegetables', 'berries']"
1031,26-08-2015,"['beverages', 'cream cheese ']"
1032,13-07-2015,"['ice cream', 'whipped/sour cream']"
1032,15-06-2015,"['berries', 'soda', 'butter', 'other vegetables', 'white bread', 'cream cheese ']"
1032,23-08-2015,"['yogurt', 'root vegetables']"
1032,23-09-2014,"['white bread', 'whole milk', 'pastry', 'shopping bags']"
1032,26-01-2014,"['whipped/sour cream', 'newspapers']"
1033,02-03-2014,"['frankfurter', 'pastry']"
1033,15-06-2015,"['chicken', 'waffles']"
1033,18-04-2014,"['fruit/vegetable juice', 'dessert']"
1033,21-04-2014,"['sausage', 'snack products', 'rolls/buns']"
1033,22-04-2015,"['tropical fruit', 'soda', 'rolls/buns']"
